,id,Placering,Huvudman,Drift,Typ,Modell,Stadsdelsnämnder,Anläggningsnummer,Cykelpump,Dricksfontän,geometry,geometry_centroid,lon,lat
31,138,Österlånggatan 45 - Benickebrinken,Danfo,Danfo,Toalett,Dubbel,Södermalm,G091,Nej,Nej,POINT (154192.6043 6578703.6892),POINT (18.07363801670329 59.32345564541193),18.07363801670329,59.32345564541193
32,140,Medborgarplatsen 54,Danfo,Danfo,Toalett,Dubbel,Södermalm,G063,Ja,Ja,POINT (154142.0958 6577756.1274),POINT (18.072732727404738 59.31495025852274),18.072732727404738,59.31495025852274
33,141,Skånegatan 79 - Nytorget,Danfo,Danfo,Toalett,Enkel,Södermalm,G061,Ja,Ja,POINT (154738.2026 6577502.3671),POINT (18.08319443060501 59.31266609001174),18.08319443060501,59.31266609001174
34,142,Allmänna Gränd - Djurgården,Danfo,Danfo,Toalett,Trippel,Norra innerstaden,G077,Nej,Nej,POINT (155454.7161 6578831.2119),POINT (18.095808671297178 59.32458595614204),18.095808671297178,59.32458595614204
35,143,Elersvägen 50 - Kristineberg,Danfo,Danfo,Toalett,null,Kungsholmen,G082,Nej,Nej,POINT (150113.8469 6580339.7323),POINT (18.00200044681012 59.338162523664344),18.00200044681012,59.338162523664344
36,144,Bredängs Alle under TB,Danfo,Danfo,Toalett,null,Skärholmen,G058,Nej,Nej,POINT (146216.336 6575556.7021),POINT (17.933599602663282 59.2952102080093),17.933599602663282,59.2952102080093
37,145,Slottskajen - Stallbron - Mynttorget,Danfo,Danfo,Toalett,null,Södermalm,G059,Nej,Nej,POINT (153941.8773 6579099.5657),POINT (18.06924153148079 59.327011681551966),18.06924153148079,59.327011681551966
38,146,Finn Malmgren,Danfo,Danfo,Toalett,null,Skarpnäck,G090,Nej,Nej,POINT (155833.9886 6575527.586),POINT (18.102381179457662 59.294925535169234),18.102381179457662,59.294925535169234
39,147,Rinkebystråket 55,Danfo,Danfo,Toalett,null,Järva,G076,Nej,Nej,POINT (145800.1415 6585977.4274),POINT (17.926092791882073 59.38874865154918),17.926092791882073,59.38874865154918
40,148,Gasverksvägen 52 - Ropsten,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G065,Nej,Nej,POINT (155866.524 6582455.4401),POINT (18.103140379779322 59.35711355740854),18.103140379779322,59.35711355740854
41,149,Skärholmsplan 6 - Skärholmen C,Danfo,Danfo,Toalett,Enkel,Skärholmen,G062,Nej,Nej,POINT (144842.53 6573520.0615),POINT (17.909538907281195 59.27691349142357),17.909538907281195,59.27691349142357
42,150,Kista torg,Danfo,Danfo,Toalett,Enkel,Järva,G070,Nej,Ja,POINT (146733.5219 6587425.5944),POINT (17.94249597258741 59.40175638929967),17.94249597258741,59.40175638929967
43,151,Älvsjö torg 19,Danfo,Danfo,Toalett,Dubbel,Hägersten-Älvsjö,G073,Ja,Ja,POINT (150509.9602 6573731.0614),POINT (18.00894511294653 59.27883867814219),18.00894511294653,59.27883867814219
44,152,Karlavägen 56,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G072,Ja,Nej,POINT (154680.713 6580461.2159),POINT (18.082249159934626 59.33922710459087),18.082249159934626,59.33922710459087
45,153,Kungsträdgårdsgatan 8 - Kungsträdgården,Danfo,Danfo,Toalett,Trippel,Norra innerstaden,G071,Ja,Ja,POINT (154127.8194 6579545.9897),POINT (18.07251625384999 59.33101727017962),18.07251625384999,59.33101727017962
46,154,Skeppsbron 29 - Skeppsbrokajen,Danfo,Danfo,Toalett,Trippel,Södermalm,G074,Ja,Ja,POINT (154293.3077 6578670.6689),POINT (18.075406091737346 59.323158224301615),18.075406091737346,59.323158224301615
47,156,Bergsgatan 44B,Danfo,Danfo,Toalett,Enkel,Kungsholmen,G102,Nej,Nej,POINT (152342.2217 6579466.1396),POINT (18.041146572489684 59.33031416350741),18.041146572489684,59.33031416350741
48,158,Bagarmossen C (vid tunnelbane nedgång),Danfo,Danfo,Toalett,Enkel,Skarpnäck,G017,Ja,Nej,POINT (157468.4624 6573451.4208),POINT (18.130993012174613 59.27626286397621),18.130993012174613,59.27626286397621
49,159,Brunnsviksvägen - Bellevueparken,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G028,Nej,Nej,POINT (152733.301 6581981.6574),POINT (18.04804866634508 59.35289254796165),18.04804866634508,59.35289254796165
50,160,Cigarrvägen 14 - Hökarängen,Danfo,Danfo,Toalett,Enkel,Farsta,G044,Nej,Nej,POINT (154413.0294 6570922.28),POINT (18.077350880521983 59.253602464387555),18.077350880521983,59.253602464387555
51,161,De Geersgatan 13 - Tessinparken,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G022,Ja,Nej,POINT (155462.8529 6580908.0592),POINT (18.096004164032635 59.34322882890003),18.096004164032635,59.34322882890003
52,162,Drottninggatan 118 - Observatorielunden,Danfo,Danfo,Toalett,Enkel,Norra innerstaden,G026,Ja,Nej,POINT (153086.565 6580641.0783),POINT (18.054239495311315 59.340856314529375),18.054239495311315,59.340856314529375
53,163,Eriksdalsbadet,Danfo,Danfo,Toalett,Trippel,Södermalm,G040,Ja,Ja,POINT (154045.3661 6576559.4342),POINT (18.071011817360137 59.30420894055089),18.071011817360137,59.30420894055089
54,164,Adlerbethsgatan 23 - Fredhällsparken,Danfo,Danfo,Toalett,Enkel,Kungsholmen,G045,Ja,Nej,POINT (150219.0163 6579600.0998),POINT (18.003847667273227 59.33152310643199),18.003847667273227,59.33152310643199
55,165,Fridhemsplan 23A,Danfo,Danfo,Toalett,Enkel,Kungsholmen,G089,Ja,Nej,POINT (151593.0158 6579617.6704),POINT (18.027986148732634 59.3316778833981),18.027986148732634,59.3316778833981
56,167,Hornsbergsstrand 77,Danfo,Danfo,Toalett,Trippel,Kungsholmen,G002,Ja,Nej,POINT (150286.8308 6580545.4166),POINT (18.005040285626016 59.340008783481956),18.005040285626016,59.340008783481956
57,169,Jyllandsgatan 16 - Trudeluttens Lekplats,Danfo,Danfo,Toalett,Enkel,Järva,G088,Nej,Nej,POINT (146342.1798 6587234.2058),POINT (17.9356099367659 59.40003517489409),17.9356099367659,59.40003517489409
58,170,Klädesvägen 3 - Brommaplan,Danfo,Danfo,Toalett,Dubbel,Bromma,G093,Ja,Nej,POINT (146507.3986 6580423.0696),POINT (17.938628854963383 59.3388961797094),17.938628854963383,59.3388961797094
59,171,Lyckselevägen 58 - Grötfatet parklek,Danfo,Danfo,Toalett,Enkel,Hässelby-Vällingby,G030,Ja,Nej,POINT (142572.5183 6583590.0385),POINT (17.869377097014382 59.36727372114325),17.869377097014382,59.36727372114325
60,172,Långholmsbadet - Långholmen,Danfo,Danfo,Toalett,Trippel,Södermalm,G020,Nej,Nej,POINT (151427.6092 6578513.7469),POINT (18.02507298159107 59.32176899752803),18.02507298159107,59.32176899752803
61,173,Lövsätragränd 42 - Sätradalsparken,Danfo,Danfo,Toalett,Enkel,Skärholmen,G043,Ja,Nej,POINT (145217.9085 6574491.9875),POINT (17.916101509926612 59.28564254004095),17.916101509926612,59.28564254004095
62,174,Mariatorget 4,Danfo,Danfo,Toalett,Dubbel,Södermalm,G052,Ja,Nej,POINT (153548.1868 6578142.8045),POINT (18.06231039827824 59.31842670985151),18.06231039827824,59.31842670985151
63,175,Mikrofonvägen 5 - Telefonplan,Danfo,Danfo,Toalett,Enkel,Hägersten-Älvsjö,G008,Nej,Nej,POINT (149827.7347 6575862.4267),POINT (17.99697663168507 59.29797147456701),17.99697663168507,59.29797147456701
64,176,Nordenflychtsvägen 11 - Kristineberg,Danfo,Danfo,Toalett,Enkel,Kungsholmen,G031,Ja,Nej,POINT (150195.9375 6579816.7357),POINT (18.00344241676478 59.333467769565516),18.00344241676478,59.333467769565516
